Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m04
6796.309439318666	3	3	3	3
6806.52945351313	3	3	2	2
6816.749467707594	3	3	3	3
6826.969481902059	3	3	3	3
6837.189496096522	3	3	3	3
6847.409510290986	3	3	3	3
6857.629524485451	3	3	3	3
6867.849538679915	3	3	2	2
6878.069552874379	3	3	3	3
6888.289567068842	3	3	3	3
6898.509581263307	3	3	3	3
6908.729595457771	3	3	3	3
6918.949609652235	3	3	3	3
6929.1696238467	3	3	2	2
6939.389638041164	3	3	3	3
6949.609652235627	3	3	3	3
6959.829666430092	3	3	3	3
6970.0496806245565	3	3	3	3
6980.2696948190205	3	3	3	3
6990.489709013485	3	3	2	2
7000.7097232079495	3	3	3	3
7010.929737402413	3	3	3	3
7021.149751596877	3	3	3	3
7031.369765791342	3	3	3	3
7041.589779985806	3	3	3	3
7051.80979418027	3	3	2	2
7062.029808374733	3	3	3	3
7072.249822569198	3	3	3	3
7082.469836763662	3	3	3	3
7092.689850958126	3	3	3	3
7102.909865152591	3	3	3	3
7113.129879347055	3	3	2	2
7123.349893541518	3	3	3	3
7133.569907735982	3	3	3	3
7143.789921930447	3	3	3	3
7154.009936124911	3	3	3	3
7164.229950319375	3	3	3	3
7174.44996451384	3	3	2	2
7184.6699787083035	3	3	3	3
7194.8899929027675	3	3	3	3
7205.110007097232	3	3	3	3
7215.3300212916965	3	3	3	3
7225.550035486161	3	3	3	3
7235.770049680624	3	3	2	2
7245.990063875089	3	3	3	3
7256.210078069553	3	3	3	3
7266.430092264017	3	3	3	3
7276.650106458482	3	3	3	3
7286.870120652946	3	3	3	3
7297.090134847409	3	3	2	2
7307.310149041873	3	3	3	3
7317.530163236338	3	3	3	3
7327.750177430802	3	3	3	3
7337.970191625266	3	3	3	3
7348.190205819731	3	3	3	3
7358.410220014194	3	3	2	2
7368.630234208658	3	3	3	3
7378.850248403122	3	3	3	3
7389.070262597587	3	3	3	3
7399.290276792051	3	3	3	3
7409.5102909865145	3	3	3	3
7419.7303051809795	3	3	2	2
7429.9503193754435	3	3	3	3
7440.170333569908	3	3	3	3
7450.390347764372	3	3	3	3
7460.610361958837	3	3	3	3
7470.8303761533	3	3	3	3
7481.050390347764	3	3	2	2
7491.270404542229	3	3	3	3
7501.490418736693	3	3	3	3
7511.710432931157	3	3	3	3
7521.93044712562	3	3	3	3
7532.150461320085	3	3	3	3
7542.370475514549	3	3	2	2
7552.590489709013	3	3	3	3
7562.810503903478	3	3	3	3
7573.030518097942	3	3	3	3
7583.250532292405	3	3	3	3
7593.470546486869	3	3	3	3
7603.690560681334	3	3	2	2
7613.910574875798	3	3	3	3
7624.130589070262	3	3	3	3
7634.350603264727	3	3	3	3
7644.5706174591905	3	3	3	3
