Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m04
9980.003412386965	3	3	2	2
9994.74492407439	3	3	2	2
10009.486435761815	3	3	3	2
10024.22794744924	3	3	3	2
10038.969459136666	2	2	2	2
10053.710970824091	2	2	2	1
10068.452482511517	2	1	1	1
10083.193994198942	2	1	1	1
10097.935505886368	2	2	2	2
10112.677017573793	3	3	3	2
10127.418529261218	3	3	3	2
10142.160040948644	3	3	2	2
10156.901552636069	3	3	2	2
10171.643064323494	2	2	2	1
10186.38457601092	2	2	2	2
10201.126087698345	2	2	2	2
10215.86759938577	3	3	3	2
10230.609111073196	4	4	3	3
10245.350622760621	3	3	3	3
10260.092134448047	3	2	2	2
10274.833646135472	2	2	1	1
10289.575157822897	3	2	2	2
10304.316669510323	2	2	2	2
10319.058181197748	3	2	2	2
10333.799692885173	3	2	2	2
10348.541204572599	2	2	2	2
10363.282716260024	3	2	2	2
10378.024227947448	3	3	3	2
10392.765739634875	3	3	2	2
10407.5072513223	3	3	3	2
10422.248763009726	2	2	2	1
10436.990274697151	2	2	2	1
10451.731786384576	3	3	3	3
10466.473298072002	4	3	3	3
10481.214809759427	2	2	2	2
10495.956321446853	3	2	2	2
10510.697833134278	3	3	2	2
10525.439344821702	2	2	2	2
10540.180856509127	3	3	2	2
10554.922368196554	4	4	3	3
10569.66387988398	4	4	3	3
10584.405391571405	3	3	3	3
10599.14690325883	3	3	3	3
10613.888414946256	3	3	2	2
10628.629926633681	2	2	2	2
10643.371438321106	3	2	2	2
10658.112950008532	2	2	2	1
10672.854461695955	3	2	2	2
10687.59597338338	3	2	2	2
10702.337485070806	3	2	2	2
10717.078996758231	2	2	2	1
10731.820508445659	2	2	2	1
10746.562020133084	4	3	3	3
10761.30353182051	3	3	3	2
10776.045043507935	3	3	2	2
10790.78655519536	3	2	2	2
10805.528066882785	4	3	3	3
10820.26957857021	2	2	1	1
10835.011090257636	3	2	2	2
10849.752601945062	4	3	3	3
10864.494113632487	4	4	4	3
10879.23562531991	3	3	3	3
10893.977137007336	3	3	3	3
10908.718648694761	3	3	2	2
10923.460160382187	2	2	1	1
10938.201672069612	2	2	2	2
10952.943183757037	3	3	3	2
10967.684695444463	2	2	2	2
10982.426207131888	3	3	2	2
10997.167718819313	3	3	3	2
11011.909230506739	3	3	3	2
11026.650742194164	3	3	3	2
11041.39225388159	3	2	2	2
11056.133765569017	2	2	2	2
11070.875277256442	2	1	1	1
11085.616788943868	3	2	2	2
11100.358300631293	4	3	3	3
11115.099812318718	2	2	1	1
11129.841324006144	3	3	3	2
11144.582835693569	2	2	2	2
11159.324347380993	4	3	3	3
11174.065859068418	3	2	2	2
11188.807370755843	3	3	3	2
11203.548882443269	3	3	3	2
11218.290394130694	4	4	4	3
11233.03190581812	3	3	3	3
11247.773417505545	3	3	3	2
11262.51492919297	3	3	3	2
11277.256440880396	3	3	3	2
11291.99795256782	2	2	2	1
11306.739464255246	4	4	3	3
11321.480975942672	3	3	3	2
11336.222487630097	3	3	2	2
11350.963999317522	3	3	2	2
11365.705511004948	4	3	3	3
11380.447022692373	3	2	2	2
11395.1885343798	4	3	3	3
11409.930046067226	3	3	2	2
11424.671557754651	2	2	2	2
11439.413069442073	2	2	2	1
11454.154581129498	2	2	2	2
11468.896092816925	2	2	2	2
11483.63760450435	4	3	3	3
11498.379116191776	3	3	3	3
11513.120627879201	2	2	2	2
11527.862139566627	3	3	3	2
11542.603651254052	2	2	2	2
11557.345162941478	3	2	2	2
11572.086674628903	3	2	2	2
11586.828186316328	3	2	2	2
11601.569698003754	3	3	3	3
11616.31120969118	3	3	2	2
11631.052721378604	2	2	2	1
11645.79423306603	2	2	1	1
11660.535744753455	3	3	2	2
11675.27725644088	3	3	2	2
11690.018768128306	2	2	2	2
11704.760279815731	3	3	3	2
11719.501791503155	3	2	2	2
11734.24330319058	2	2	2	1
