Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m04
11162.672322375398	3	3	3	3
11177.942735949098	3	3	2	2
11193.2131495228	3	3	3	2
11208.4835630965	2	2	1	1
11223.753976670201	2	2	2	2
11239.024390243903	3	3	2	2
11254.294803817604	4	3	3	3
11269.565217391304	3	3	3	2
11284.835630965004	3	3	2	2
11300.106044538707	3	3	3	3
11315.376458112407	3	3	2	2
11330.646871686107	3	2	2	2
11345.91728525981	3	3	3	3
11361.18769883351	3	3	3	2
11376.45811240721	4	3	3	3
11391.728525980912	4	3	3	3
11406.998939554613	2	2	2	2
11422.269353128313	3	3	2	2
11437.539766702015	3	3	3	3
11452.810180275716	3	3	3	2
11468.080593849416	2	2	2	1
11483.351007423118	2	2	2	2
11498.621420996818	2	2	2	2
11513.891834570519	3	3	2	2
11529.16224814422	3	3	3	2
11544.432661717921	3	3	3	2
11559.703075291622	3	3	3	2
11574.973488865322	3	3	3	2
11590.243902439026	3	3	3	2
11605.514316012725	3	3	3	2
11620.784729586425	2	2	2	1
11636.055143160129	2	2	2	1
11651.325556733827	1	1	1	1
11666.595970307528	2	2	2	1
11681.866383881232	3	3	3	3
11697.136797454932	3	2	2	2
11712.40721102863	3	2	2	2
11727.677624602335	3	2	2	2
11742.948038176035	2	2	2	1
11758.218451749735	4	4	3	3
11773.488865323434	3	3	3	2
11788.759278897138	3	2	2	2
11804.029692470838	2	1	1	1
11819.300106044539	2	1	1	1
11834.57051961824	3	3	3	2
11849.840933191941	3	2	2	2
11865.111346765641	3	3	3	2
11880.381760339344	3	3	2	2
11895.652173913044	3	2	2	2
11910.922587486744	2	2	2	1
11926.193001060446	3	2	2	2
11941.463414634147	2	2	2	2
11956.733828207847	2	2	2	2
11972.00424178155	3	3	2	2
11987.27465535525	3	3	3	2
12002.54506892895	3	3	3	2
12017.81548250265	3	3	2	2
12033.085896076353	2	2	2	2
12048.356309650053	3	2	2	2
12063.626723223753	2	2	2	1
12078.897136797455	3	3	2	2
12094.167550371156	2	2	2	2
12109.437963944856	3	3	3	3
12124.708377518558	3	3	3	2
12139.978791092259	3	3	2	2
12155.249204665959	2	2	2	2
12170.519618239661	3	2	2	2
12185.790031813362	2	2	2	1
