Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m04
5938.771530711731	4	4	4	4
5952.8111797205065	1	1	1	1
5966.8508287292825	1	1	1	1
5980.890477738056	1	1	1	1
5994.930126746831	1	1	1	1
6008.969775755607	1	1	1	1
6023.00942476438	4	4	4	4
6037.049073773155	1	1	1	1
6051.08872278193	1	1	1	1
6065.1283717907045	1	1	1	1
6079.16802079948	1	1	1	1
6093.207669808255	1	1	1	1
6107.247318817029	4	4	4	4
6121.286967825804	1	1	1	1
6135.326616834579	1	1	1	1
6149.366265843354	1	1	1	1
6163.405914852128	1	1	1	1
6177.445563860903	1	1	1	1
6191.485212869678	4	4	4	4
6205.524861878453	1	1	1	1
6219.564510887228	1	1	1	1
6233.604159896003	1	1	1	1
6247.643808904777	1	1	1	1
6261.683457913552	1	1	1	1
6275.723106922327	4	4	4	4
6289.762755931101	1	1	1	1
6303.802404939876	1	1	1	1
6317.8420539486515	1	1	1	1
6331.881702957426	1	1	1	1
6345.921351966201	1	1	1	1
6359.961000974976	4	4	4	4
6374.00064998375	1	1	1	1
6388.040298992525	1	1	1	1
6402.0799480013	1	1	1	1
6416.119597010074	1	1	1	1
6430.159246018849	1	1	1	1
6444.1988950276245	4	4	4	4
6458.238544036399	1	1	1	1
6472.278193045174	1	1	1	1
6486.317842053949	1	1	1	1
6500.357491062723	1	1	1	1
6514.397140071498	1	1	1	1
6528.436789080273	4	4	4	4
6542.476438089047	1	1	1	1
6556.5160870978225	1	1	1	1
6570.555736106598	1	1	1	1
6584.595385115372	1	1	1	1
6598.635034124147	1	1	1	1
6612.674683132922	4	4	4	4
6626.714332141697	1	1	1	1
6640.753981150471	1	1	1	1
6654.793630159246	1	1	1	1
6668.833279168021	1	1	1	1
6682.8729281767955	1	1	1	1
6696.912577185571	4	4	4	4
6710.952226194346	1	1	1	1
6724.99187520312	1	1	1	1
6739.031524211895	1	1	1	1
6753.07117322067	1	1	1	1
6767.110822229444	1	1	1	1
6781.150471238219	4	4	4	4
6795.190120246994	1	1	1	1
6809.229769255769	1	1	1	1
6823.269418264544	1	1	1	1
6837.309067273319	1	1	1	1
6851.348716282093	1	1	1	1
6865.388365290868	4	4	4	4
6879.428014299643	1	1	1	1
6893.467663308416	1	1	1	1
6907.507312317192	1	1	1	1
6921.5469613259675	1	1	1	1
6935.586610334741	1	1	1	1
6949.626259343517	4	4	4	4
6963.665908352292	1	1	1	1
6977.705557361065	1	1	1	1
6991.74520636984	1	1	1	1
7005.784855378616	1	1	1	1
7019.824504387389	1	1	1	1
7033.8641533961645	4	4	4	4
7047.9038024049405	1	1	1	1
7061.943451413716	1	1	1	1
7075.983100422489	1	1	1	1
7090.022749431264	1	1	1	1
7104.06239844004	1	1	1	1
7118.102047448813	4	4	4	4
7132.141696457588	1	1	1	1
7146.181345466364	1	1	1	1
7160.220994475138	1	1	1	1
7174.260643483913	1	1	1	1
7188.300292492688	1	1	1	1
7202.339941501462	4	4	4	4
7216.379590510237	1	1	1	1
7230.419239519012	1	1	1	1
7244.458888527786	1	1	1	1
7258.498537536561	1	1	1	1
7272.538186545336	1	1	1	1
7286.577835554111	4	4	4	4
7300.617484562886	1	1	1	1
7314.657133571661	1	1	1	1
7328.696782580435	1	1	1	1
7342.73643158921	1	1	1	1
7356.776080597985	1	1	1	1
7370.815729606759	4	4	4	4
7384.855378615534	1	1	1	1
7398.8950276243095	1	1	1	1
7412.934676633084	1	1	1	1
7426.974325641859	1	1	1	1
7441.013974650634	1	1	1	1
7455.053623659408	4	4	4	4
7469.093272668183	1	1	1	1
7483.132921676958	1	1	1	1
7497.172570685732	1	1	1	1
7511.212219694507	1	1	1	1
7525.2518687032825	1	1	1	1
7539.291517712058	4	4	4	4
7553.331166720832	1	1	1	1
7567.370815729607	1	1	1	1
7581.410464738382	1	1	1	1
7595.450113747156	1	1	1	1
7609.489762755931	1	1	1	1
7623.529411764706	4	4	4	4
7637.5690607734805	1	1	1	1
7651.608709782256	1	1	1	1
7665.648358791031	1	1	1	1
7679.688007799805	1	1	1	1
7693.72765680858	1	1	1	1
7707.767305817355	4	4	4	4
7721.806954826129	1	1	1	1
7735.846603834904	1	1	1	1
7749.886252843679	1	1	1	1
7763.9259018524535	1	1	1	1
7777.965550861229	1	1	1	1
7792.005199870004	4	4	4	4
7806.044848878778	1	1	1	1
7820.084497887553	1	1	1	1
7834.124146896328	1	1	1	1
7848.163795905102	1	1	1	1
7862.203444913877	1	1	1	1
7876.243093922652	4	4	4	4
7890.282742931427	1	1	1	1
7904.322391940202	1	1	1	1
7918.362040948977	1	1	1	1
7932.401689957751	1	1	1	1
7946.441338966526	1	1	1	1
7960.480987975301	4	4	4	4
7974.520636984076	1	1	1	1
7988.56028599285	1	1	1	1
8002.599935001625	1	1	1	1
8016.6395840104005	1	1	1	1
8030.679233019174	1	1	1	1
8044.71888202795	4	4	4	4
8058.758531036725	1	1	1	1
8072.798180045498	1	1	1	1
8086.837829054274	1	1	1	1
8100.877478063049	1	1	1	1
8114.9171270718225	1	1	1	1
8128.956776080598	4	4	4	4
8142.996425089374	1	1	1	1
8157.036074098147	1	1	1	1
8171.075723106922	1	1	1	1
8185.115372115698	1	1	1	1
8199.155021124472	1	1	1	1
