Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m04
6493.082545427598	4	4	4	4
6493.292546156772	4	3	3	3
6503.492581573566	4	4	4	4
6513.672616920915	4	4	4	4
6523.852652268264	4	4	4	4
6534.032687615613	4	4	4	4
6544.212722962961	4	4	4	4
6544.422723692135	4	3	3	3
6554.622759108929	4	4	4	4
6564.802794456278	4	4	4	4
6574.982829803627	4	4	4	4
6585.162865150976	4	4	4	4
6595.342900498325	4	4	4	4
6595.552901227499	4	3	3	3
6605.74293660957	4	4	4	4
6615.922971956919	4	4	4	4
6626.103007304268	4	4	4	4
6636.2830426516175	4	4	4	4
6646.463077998966	4	4	4	4
6646.683078762862	4	3	3	3
6656.883114179656	4	4	4	4
6667.063149527005	4	4	4	4
6677.243184874354	4	4	4	4
6687.423220221703	4	4	4	4
6697.603255569052	4	4	4	4
6697.813256298225	4	3	3	3
6708.013291715019	4	4	4	4
6718.193327062368	4	4	4	4
6728.373362409717	4	4	4	4
